,ID,SerialNumber,ListYear,DateRecorded,Town,Address,AssessedValue,SaleAmount,SalesRatio,PropertyType,ResidentialType,NonUseCode,Remarks
44,45,110002,2011,12/05/2011 12:00:00 AM,Andover,119 LAKESIDE DRIVE,208400,218000.0,0.9559633027522941,Residential,Single Family,,
303,304,110007,2011,12/22/2011 12:00:00 AM,Andover,33 GILEAD ROAD,112500,144000.0,0.78125,Residential,Single Family,1,
304,305,110003,2011,11/22/2011 12:00:00 AM,Andover,33 ROUTE 87,133500,185000.0,0.721621621621622,Residential,Single Family,,
342,343,110009,2011,02/27/2012 12:00:00 AM,Andover,36 OAK FARMS ROAD,383400,470000.0,0.815744680851064,Residential,Single Family,,
396,397,110008,2011,11/03/2011 12:00:00 AM,Andover,44 LAKESIDE DRIVE,117600,215000.0,0.546976744186046,Residential,Single Family,,
413,414,110001,2011,11/07/2011 12:00:00 AM,Andover,5 MATHIESON DRIVE,151400,180000.0,0.8411111111111109,Residential,Single Family,8,
639,640,110005,2011,12/21/2011 12:00:00 AM,Andover,LOT 17A ROUTE 6,6650,20000.0,0.3325,Vacant Land,,8,
641,642,110006,2011,12/21/2011 12:00:00 AM,Andover,LOT 2 ROUTE 6,300,20000.0,0.015,Vacant Land,,8,
643,644,110004,2011,12/21/2011 12:00:00 AM,Andover,LOT 20 ROUTE 6,4850,20000.0,0.2425,Vacant Land,,8,
699,700,11008,2011,07/03/2012 12:00:00 AM,Ansonia,1 DOREL TERR,216600,299000.0,0.724414715719064,Residential,Single Family,,
701,702,1143,2011,02/24/2012 12:00:00 AM,Ansonia,1 ELIZABETH STREET,164100,70000.0,2.34428571428571,Residential,Single Family,8,
708,709,11040,2011,09/06/2012 12:00:00 AM,Ansonia,1 HUGHES CR,151500,169900.0,0.8917010005885809,Condo,,,
719,720,1184,2011,05/21/2012 12:00:00 AM,Ansonia,1 NOLAN MANOR CONDO,46400,60000.0,0.773333333333333,Condo,,,
731,732,11051,2011,09/25/2012 12:00:00 AM,Ansonia,1 VALENTINE CT,176400,265000.0,0.6656603773584909,Residential,Single Family,,
